Date,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,FCT,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nassarawa,Niger,Ogun,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,22,0,0,2,0,0,1,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,28,0,0,2,0,0,1,0,0,0,0,0,0
2020-03-24,0,0,0,0,1,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,29,0,0,3,0,0,1,0,0,0,0,0,0
2020-03-25,0,0,0,0,1,0,0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,0,0,32,0,0,3,0,1,1,0,1,0,0,0,0
2020-03-26,0,0,0,0,2,0,0,0,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,44,0,0,3,0,1,1,0,1,0,0,0,0
2020-03-27,0,0,0,0,2,0,0,0,0,0,0,2,1,2,14,0,0,0,0,0,0,0,0,0,52,0,0,3,0,1,3,0,1,0,0,0,0
2020-03-28,0,0,0,0,2,0,1,0,0,0,0,2,1,2,16,0,0,0,1,0,0,0,0,0,59,0,0,3,0,2,7,0,1,0,0,0,0
2020-03-29,0,0,0,0,2,0,1,0,0,0,0,2,1,2,21,0,0,0,1,0,0,0,0,0,68,0,0,3,0,2,7,0,1,0,0,0,0
2020-03-30,0,0,0,0,2,0,1,0,0,0,0,2,1,2,25,0,0,0,3,0,0,0,0,0,81,0,0,3,0,2,8,0,1,0,0,0,0
2020-03-31,0,0,0,0,2,0,1,0,0,0,0,2,1,2,28,0,0,0,3,0,0,0,0,0,82,0,0,4,0,5,8,0,1,0,0,0,0
2020-04-01,0,0,5,0,3,0,1,0,0,0,0,4,2,2,35,0,0,0,4,0,0,0,0,0,91,0,0,4,0,14,8,0,1,0,0,0,0
2020-04-02,0,0,5,0,3,0,1,0,0,0,0,4,2,2,38,0,0,0,4,0,0,0,0,0,98,0,0,4,0,14,8,0,1,0,0,0,0
2020-04-03,0,0,5,0,3,0,1,0,0,0,0,7,2,2,41,0,0,0,4,0,0,0,0,0,109,0,0,4,1,20,9,0,1,0,0,0,0
2020-04-04,0,0,5,0,6,0,1,0,0,0,0,7,2,2,43,0,0,0,4,0,0,0,0,0,109,0,0,4,1,20,9,0,1,0,0,0,0
2020-04-05,0,0,5,0,6,0,1,0,0,0,0,9,2,2,47,0,0,0,5,0,0,0,0,0,120,0,0,4,1,20,9,0,1,0,0,0,0
2020-04-06,0,0,5,0,6,0,1,0,0,0,0,11,2,2,48,0,0,0,5,0,0,0,0,2,120,0,0,4,1,20,9,0,2,0,0,0,0
2020-04-07,0,0,5,0,6,0,1,0,0,1,0,11,2,2,50,0,0,0,5,0,1,0,0,2,130,0,0,4,1,20,11,0,2,0,0,0,0
